#comment,AES(JEOL)spectrum
#title,Al-Cu intermetallic compo. 10kV M5 data034(SEM-Center)
#dimension,x,y
#x,Kinetic Energy,eV
#y,Intensity,counts
#legend,CuLMM,AlKLL
#acq_date,2016/04/08 19:39:36
#cps_conversion,0
#acq_time,50.0,50.0
#acq_time_unit,ms
#subplot,0,1,1

687.5,16262,1267.5,24020
687.6,16275,1267.6,24016
687.7,16276,1267.7,24043
687.8,16277,1267.8,24041
687.9,16300,1267.9,24043
688.0,16256,1268.0,24066
688.1,16274,1268.1,24061
688.2,16256,1268.2,24028
688.3,16256,1268.3,24063
688.4,16271,1268.4,24076
688.5,16290,1268.5,24052
688.6,16294,1268.6,24071
688.7,16290,1268.7,24035
688.8,16287,1268.8,24081
688.9,16315,1268.9,24052
689.0,16320,1269.0,24035
689.1,16292,1269.1,24070
689.2,16314,1269.2,24087
689.3,16314,1269.3,24082
689.4,16303,1269.4,24068
689.5,16283,1269.5,24082
689.6,16305,1269.6,24090
689.7,16319,1269.7,24114
689.8,16371,1269.8,24070
689.9,16327,1269.9,24103
690.0,16324,1270.0,24114
690.1,16323,1270.1,24116
690.2,16307,1270.2,24087
690.3,16305,1270.3,24112
690.4,16314,1270.4,24122
690.5,16324,1270.5,24087
690.6,16334,1270.6,24130
690.7,16342,1270.7,24133
690.8,16329,1270.8,24114
690.9,16322,1270.9,24128
691.0,16352,1271.0,24131
691.1,16350,1271.1,24152
691.2,16354,1271.2,24130
691.3,16368,1271.3,24124
691.4,16359,1271.4,24136
691.5,16376,1271.5,24154
691.6,16338,1271.6,24183
691.7,16390,1271.7,24156
691.8,16404,1271.8,24158
691.9,16390,1271.9,24137
692.0,16387,1272.0,24181
692.1,16432,1272.1,24180
692.2,16392,1272.2,24195
692.3,16385,1272.3,24204
692.4,16369,1272.4,24164
692.5,16376,1272.5,24177
692.6,16427,1272.6,24173
692.7,16417,1272.7,24166
692.8,16403,1272.8,24192
692.9,16381,1272.9,24195
693.0,16437,1273.0,24218
693.1,16449,1273.1,24175
693.2,16420,1273.2,24164
693.3,16412,1273.3,24189
693.4,16414,1273.4,24173
693.5,16420,1273.5,24197
693.6,16442,1273.6,24183
693.7,16429,1273.7,24212
693.8,16393,1273.8,24205
693.9,16449,1273.9,24230
694.0,16390,1274.0,24214
694.1,16412,1274.1,24216
694.2,16409,1274.2,24223
694.3,16405,1274.3,24214
694.4,16420,1274.4,24218
694.5,16439,1274.5,24245
694.6,16419,1274.6,24206
694.7,16431,1274.7,24221
694.8,16452,1274.8,24232
694.9,16497,1274.9,24243
695.0,16470,1275.0,24241
695.1,16461,1275.1,24263
695.2,16468,1275.2,24260
695.3,16433,1275.3,24236
695.4,16449,1275.4,24264
695.5,16440,1275.5,24231
695.6,16479,1275.6,24245
695.7,16462,1275.7,24221
695.8,16482,1275.8,24228
695.9,16460,1275.9,24273
696.0,16487,1276.0,24229
696.1,16480,1276.1,24250
696.2,16472,1276.2,24272
696.3,16463,1276.3,24282
696.4,16485,1276.4,24268
696.5,16507,1276.5,24290
696.6,16484,1276.6,24279
696.7,16472,1276.7,24304
696.8,16473,1276.8,24309
696.9,16479,1276.9,24332
697.0,16496,1277.0,24294
697.1,16508,1277.1,24302
697.2,16540,1277.2,24312
697.3,16526,1277.3,24309
697.4,16503,1277.4,24324
697.5,16502,1277.5,24343
697.6,16496,1277.6,24344
697.7,16501,1277.7,24311
697.8,16539,1277.8,24349
697.9,16523,1277.9,24320
698.0,16554,1278.0,24325
698.1,16553,1278.1,24347
698.2,16552,1278.2,24315
698.3,16572,1278.3,24335
698.4,16560,1278.4,24351
698.5,16508,1278.5,24325
698.6,16549,1278.6,24339
698.7,16521,1278.7,24362
698.8,16570,1278.8,24340
698.9,16589,1278.9,24365
699.0,16564,1279.0,24395
699.1,16583,1279.1,24337
699.2,16586,1279.2,24394
699.3,16587,1279.3,24378
699.4,16591,1279.4,24408
699.5,16577,1279.5,24357
699.6,16587,1279.6,24393
699.7,16610,1279.7,24384
699.8,16592,1279.8,24371
699.9,16577,1279.9,24374
700.0,16590,1280.0,24378
700.1,16590,1280.1,24368
700.2,16612,1280.2,24423
700.3,16585,1280.3,24407
700.4,16602,1280.4,24418
700.5,16617,1280.5,24428
700.6,16607,1280.6,24446
700.7,16622,1280.7,24400
700.8,16573,1280.8,24417
700.9,16631,1280.9,24410
701.0,16612,1281.0,24445
701.1,16622,1281.1,24432
701.2,16633,1281.2,24387
701.3,16639,1281.3,24439
701.4,16658,1281.4,24456
701.5,16639,1281.5,24439
701.6,16649,1281.6,24439
701.7,16646,1281.7,24426
701.8,16661,1281.8,24441
701.9,16628,1281.9,24446
702.0,16645,1282.0,24423
702.1,16673,1282.1,24422
702.2,16659,1282.2,24453
702.3,16677,1282.3,24457
702.4,16668,1282.4,24442
702.5,16697,1282.5,24468
702.6,16670,1282.6,24464
702.7,16625,1282.7,24461
702.8,16691,1282.8,24471
702.9,16681,1282.9,24454
703.0,16715,1283.0,24462
703.1,16662,1283.1,24465
703.2,16665,1283.2,24465
703.3,16710,1283.3,24462
703.4,16644,1283.4,24515
703.5,16664,1283.5,24456
703.6,16663,1283.6,24507
703.7,16703,1283.7,24505
703.8,16729,1283.8,24487
703.9,16701,1283.9,24509
704.0,16697,1284.0,24488
704.1,16709,1284.1,24506
704.2,16748,1284.2,24506
704.3,16730,1284.3,24513
704.4,16716,1284.4,24531
704.5,16736,1284.5,24501
704.6,16736,1284.6,24495
704.7,16716,1284.7,24509
704.8,16737,1284.8,24526
704.9,16738,1284.9,24523
705.0,16752,1285.0,24528
705.1,16743,1285.1,24525
705.2,16761,1285.2,24533
705.3,16755,1285.3,24509
705.4,16727,1285.4,24562
705.5,16769,1285.5,24529
705.6,16753,1285.6,24550
705.7,16762,1285.7,24522
705.8,16754,1285.8,24552
705.9,16766,1285.9,24552
706.0,16781,1286.0,24549
706.1,16792,1286.1,24553
706.2,16778,1286.2,24546
706.3,16783,1286.3,24553
706.4,16800,1286.4,24570
706.5,16796,1286.5,24546
706.6,16789,1286.6,24551
706.7,16786,1286.7,24561
706.8,16778,1286.8,24573
706.9,16762,1286.9,24562
707.0,16819,1287.0,24584
707.1,16839,1287.1,24607
707.2,16838,1287.2,24593
707.3,16831,1287.3,24601
707.4,16824,1287.4,24566
707.5,16836,1287.5,24591
707.6,16820,1287.6,24581
707.7,16840,1287.7,24601
707.8,16816,1287.8,24581
707.9,16787,1287.9,24580
708.0,16817,1288.0,24602
708.1,16852,1288.1,24616
708.2,16827,1288.2,24584
708.3,16844,1288.3,24591
708.4,16860,1288.4,24598
708.5,16856,1288.5,24656
708.6,16844,1288.6,24644
708.7,16842,1288.7,24610
708.8,16835,1288.8,24642
708.9,16866,1288.9,24648
709.0,16846,1289.0,24635
709.1,16863,1289.1,24632
709.2,16886,1289.2,24653
709.3,16891,1289.3,24664
709.4,16892,1289.4,24644
709.5,16885,1289.5,24630
709.6,16882,1289.6,24654
709.7,16936,1289.7,24691
709.8,16907,1289.8,24675
709.9,16906,1289.9,24646
710.0,16887,1290.0,24668
710.1,16921,1290.1,24693
710.2,16902,1290.2,24672
710.3,16937,1290.3,24676
710.4,16935,1290.4,24695
710.5,16907,1290.5,24697
710.6,16909,1290.6,24691
710.7,16943,1290.7,24670
710.8,16922,1290.8,24707
710.9,16886,1290.9,24707
711.0,16924,1291.0,24706
711.1,16899,1291.1,24733
711.2,16927,1291.2,24714
711.3,16952,1291.3,24745
711.4,16967,1291.4,24701
711.5,16944,1291.5,24738
711.6,16970,1291.6,24739
711.7,17001,1291.7,24776
711.8,16969,1291.8,24766
711.9,16951,1291.9,24736
712.0,16990,1292.0,24708
712.1,16958,1292.1,24752
712.2,16970,1292.2,24715
712.3,16977,1292.3,24728
712.4,16973,1292.4,24784
712.5,16982,1292.5,24780
712.6,16961,1292.6,24743
712.7,16944,1292.7,24808
712.8,16978,1292.8,24774
712.9,16941,1292.9,24771
713.0,16942,1293.0,24816
713.1,16973,1293.1,24769
713.2,16973,1293.2,24821
713.3,16986,1293.3,24783
713.4,16985,1293.4,24812
713.5,17010,1293.5,24816
713.6,16967,1293.6,24821
713.7,16983,1293.7,24820
713.8,16976,1293.8,24819
713.9,17012,1293.9,24833
714.0,17025,1294.0,24822
714.1,17010,1294.1,24821
714.2,16985,1294.2,24816
714.3,16979,1294.3,24862
714.4,16985,1294.4,24880
714.5,16986,1294.5,24853
714.6,17014,1294.6,24866
714.7,16989,1294.7,24882
714.8,17004,1294.8,24893
714.9,16973,1294.9,24874
715.0,16989,1295.0,24909
715.1,17000,1295.1,24875
715.2,16993,1295.2,24920
715.3,16991,1295.3,24885
715.4,16984,1295.4,24867
715.5,17000,1295.5,24878
715.6,16993,1295.6,24892
715.7,16999,1295.7,24924
715.8,17003,1295.8,24892
