##Spectra in depth profile
#title,27.pro
#dimension,x,y,z
#x,Kinetic Energy,eV
#y,Intensity,cps
#z,Sputter Time,min
#legend,C1,O1,Si1
##Sputter Time,14
##acq_date,20090609
##comment,DEPTHPRO

##Intensity in depth profile
#title,27.pro
#dimension,x,y
#x,Sputter Time,min
#y,Intensity,arb.units
#legend,C1,O1,Si1
##block,depth_intensity
##acq_date,20090609
##comment,DEPTHPRO

,-0.5000,0.0000,0.5000,1.0000,1.5000,2.0000,2.5000,3.0000,3.5000,4.0000,4.5000,5.0000,5.5000,6.0000
231.0000,272230.0000,270440.0000,272670.0000,274430.0000,278750.0000,277130.0000,279810.0000,275110.0000,266120.0000,261550.0000,264940.0000,262000.0000,264080.0000,260040.0000
232.0000,277560.0000,269990.0000,276550.0000,273190.0000,276400.0000,280140.0000,280170.0000,272580.0000,267020.0000,266150.0000,265550.0000,263680.0000,262630.0000,261940.0000
233.0000,278510.0000,273930.0000,273880.0000,276130.0000,276730.0000,282120.0000,281690.0000,272730.0000,267130.0000,265610.0000,264530.0000,261330.0000,259230.0000,260360.0000
234.0000,278530.0000,274500.0000,273250.0000,271990.0000,279980.0000,281730.0000,282660.0000,276790.0000,266800.0000,268060.0000,264590.0000,264490.0000,264260.0000,261810.0000
235.0000,282280.0000,275870.0000,275430.0000,274630.0000,277990.0000,278470.0000,282020.0000,279240.0000,269030.0000,268740.0000,266400.0000,266090.0000,263780.0000,264480.0000
236.0000,282280.0000,277190.0000,277840.0000,277710.0000,278160.0000,280000.0000,279450.0000,279160.0000,268860.0000,266470.0000,264670.0000,267730.0000,264980.0000,265000.0000
237.0000,280640.0000,280940.0000,275270.0000,278330.0000,278960.0000,284920.0000,280470.0000,280210.0000,269950.0000,267080.0000,264350.0000,267440.0000,263460.0000,264420.0000
238.0000,284580.0000,282500.0000,274290.0000,278490.0000,279540.0000,283620.0000,281350.0000,279250.0000,267530.0000,269590.0000,267630.0000,265890.0000,264360.0000,264720.0000
239.0000,287870.0000,284180.0000,278440.0000,278190.0000,279620.0000,281070.0000,284460.0000,279180.0000,266720.0000,269690.0000,268740.0000,266050.0000,266750.0000,264400.0000
240.0000,289540.0000,280600.0000,278950.0000,280590.0000,282920.0000,281460.0000,284500.0000,281370.0000,269160.0000,270400.0000,268390.0000,266970.0000,264650.0000,263660.0000
241.0000,288360.0000,281470.0000,278220.0000,279630.0000,281070.0000,286990.0000,284820.0000,282660.0000,272220.0000,269810.0000,268060.0000,268850.0000,264060.0000,265570.0000
242.0000,291400.0000,281770.0000,278420.0000,279850.0000,281780.0000,286060.0000,287320.0000,281850.0000,272510.0000,270410.0000,271050.0000,269300.0000,265580.0000,268610.0000
243.0000,293000.0000,284690.0000,284920.0000,280470.0000,284030.0000,284310.0000,288200.0000,280510.0000,271310.0000,269230.0000,268070.0000,268820.0000,269980.0000,266050.0000
244.0000,293200.0000,285160.0000,279250.0000,281880.0000,283230.0000,283880.0000,286160.0000,283060.0000,271560.0000,272980.0000,270470.0000,268430.0000,265470.0000,268590.0000
245.0000,293410.0000,287880.0000,279990.0000,278510.0000,282680.0000,290630.0000,287840.0000,283210.0000,272060.0000,269620.0000,272060.0000,272130.0000,266830.0000,268960.0000
246.0000,297560.0000,288250.0000,282400.0000,281680.0000,283620.0000,287060.0000,289420.0000,281390.0000,274230.0000,272040.0000,269670.0000,267680.0000,268170.0000,268880.0000
247.0000,298190.0000,290470.0000,284860.0000,282710.0000,282850.0000,286730.0000,286470.0000,279900.0000,274820.0000,273960.0000,272130.0000,267680.0000,267940.0000,269440.0000
248.0000,297360.0000,293480.0000,281380.0000,285280.0000,282020.0000,286880.0000,287840.0000,282980.0000,273540.0000,272990.0000,270400.0000,270880.0000,271410.0000,271430.0000
249.0000,303870.0000,292700.0000,280150.0000,284050.0000,286010.0000,293420.0000,288380.0000,282010.0000,276110.0000,275180.0000,270720.0000,270540.0000,270160.0000,271290.0000
250.0000,307080.0000,293550.0000,287680.0000,283380.0000,284640.0000,288610.0000,292930.0000,281910.0000,274910.0000,273870.0000,273460.0000,268380.0000,272130.0000,270290.0000
251.0000,301560.0000,295960.0000,281600.0000,287910.0000,285910.0000,290330.0000,288770.0000,284870.0000,275330.0000,274710.0000,272060.0000,272040.0000,271050.0000,268710.0000
252.0000,307550.0000,297450.0000,280870.0000,285060.0000,287050.0000,291800.0000,289550.0000,282830.0000,276950.0000,274080.0000,271370.0000,274000.0000,270180.0000,271330.0000
253.0000,312030.0000,298640.0000,281250.0000,286170.0000,286190.0000,291750.0000,288870.0000,285740.0000,274860.0000,272850.0000,274800.0000,273800.0000,271760.0000,272130.0000
254.0000,311490.0000,300020.0000,286090.0000,284950.0000,287690.0000,290190.0000,292160.0000,285850.0000,274690.0000,278360.0000,275070.0000,272030.0000,271090.0000,271590.0000
255.0000,316030.0000,301310.0000,284120.0000,288300.0000,288510.0000,289190.0000,295750.0000,285590.0000,277520.0000,274610.0000,276410.0000,275630.0000,272950.0000,273880.0000
256.0000,319440.0000,306130.0000,286740.0000,285780.0000,289760.0000,291080.0000,293020.0000,288140.0000,276650.0000,275150.0000,276130.0000,277140.0000,273100.0000,272960.0000
257.0000,321310.0000,304780.0000,289310.0000,284890.0000,290740.0000,293360.0000,291100.0000,287140.0000,277510.0000,274850.0000,274240.0000,276030.0000,273860.0000,274990.0000
258.0000,321460.0000,307710.0000,289830.0000,284860.0000,290490.0000,291930.0000,290900.0000,287120.0000,278140.0000,277930.0000,274550.0000,277020.0000,272670.0000,271590.0000
