Energy(ev),  Intensity
 1356.00 , 54606
 1357.00 , 54680
 1358.00 , 54738
 1359.00 , 54650
 1360.00 , 54738
 1361.00 , 54737
 1362.00 , 54724
 1363.00 , 54776
 1364.00 , 54803
 1365.00 , 54836
 1366.00 , 54894
 1367.00 , 54915
 1368.00 , 55055
 1369.00 , 54962
 1370.00 , 55044
 1371.00 , 55010
 1372.00 , 54961
 1373.00 , 55051
 1374.00 , 55134
 1375.00 , 55111
 1376.00 , 55260
 1377.00 , 55200
 1378.00 , 55189
 1379.00 , 55273
 1380.00 , 55219
 1381.00 , 55266
 1382.00 , 55357
 1383.00 , 55372
 1384.00 , 55435
 1385.00 , 55425
 1386.00 , 55429
 1387.00 , 55485
 1388.00 , 55493
 1389.00 , 55605
 1390.00 , 55558
 1391.00 , 55535
 1392.00 , 55681
 1393.00 , 55722
 1394.00 , 55700
 1395.00 , 55679
 1396.00 , 55761
 1397.00 , 55745
 1398.00 , 55803
 1399.00 , 55853
 1400.00 , 55908
 1401.00 , 55955
 1402.00 , 55927
 1403.00 , 55982
 1404.00 , 55973
 1405.00 , 55989
 1406.00 , 56002
 1407.00 , 56007
 1408.00 , 56071
 1409.00 , 55992
 1410.00 , 56076
 1411.00 , 56116
 1412.00 , 56157
 1413.00 , 56255
 1414.00 , 56242
 1415.00 , 56342
 1416.00 , 56362
 1417.00 , 56376
 1418.00 , 56437
 1419.00 , 56488
 1420.00 , 56455
 1421.00 , 56424
 1422.00 , 56562
 1423.00 , 56546
 1424.00 , 56573
 1425.00 , 56613
 1426.00 , 56601
 1427.00 , 56691
 1428.00 , 56757
 1429.00 , 56696
 1430.00 , 56726
 1431.00 , 56728
 1432.00 , 56793
 1433.00 , 56849
 1434.00 , 56788
 1435.00 , 56873
 1436.00 , 56913
 1437.00 , 56961
 1438.00 , 56953
 1439.00 , 56987
 1440.00 , 57048
 1441.00 , 57050
 1442.00 , 57071
 1443.00 , 57091
 1444.00 , 57084
 1445.00 , 57178
 1446.00 , 57154
 1447.00 , 57156
 1448.00 , 57254
 1449.00 , 57295
 1450.00 , 57318
 1451.00 , 57345
 1452.00 , 57434
 1453.00 , 57471
 1454.00 , 57419
 1455.00 , 57473
 1456.00 , 57516
 1457.00 , 57537
 1458.00 , 57615
 1459.00 , 57640
 1460.00 , 57612
 1461.00 , 57691
 1462.00 , 57719
 1463.00 , 57716
 1464.00 , 57720
 1465.00 , 57791
 1466.00 , 57831
 1467.00 , 57848
 1468.00 , 57848
 1469.00 , 57863
 1470.00 , 57990
 1471.00 , 57952
 1472.00 , 58077
 1473.00 , 58060
 1474.00 , 58039
 1475.00 , 58122
 1476.00 , 58192
 1477.00 , 58127
 1478.00 , 58185
 1479.00 , 58246
 1480.00 , 58253
 1481.00 , 58298
 1482.00 , 58222
 1483.00 , 58365
 1484.00 , 58343
 1485.00 , 58368
 1486.00 , 58415
 1487.00 , 58477
 1488.00 , 58522
 1489.00 , 58497
 1490.00 , 58594
 1491.00 , 58575
 1492.00 , 58624
 1493.00 , 58601
 1494.00 , 58649
 1495.00 , 58723
 1496.00 , 58795
 1497.00 , 58793
 1498.00 , 58851
 1499.00 , 58817
 1500.00 , 58875
 1501.00 , 58835
 1502.00 , 58906
 1503.00 , 58922
 1504.00 , 58974
 1505.00 , 59050
 1506.00 , 59098
 1507.00 , 59034
 1508.00 , 59140
 1509.00 , 59124
 1510.00 , 59145
 1511.00 , 59175
 1512.00 , 59244
 1513.00 , 59259
 1514.00 , 59252
 1515.00 , 59302
 1516.00 , 59373
 1517.00 , 59370
 1518.00 , 59425
 1519.00 , 59371
 1520.00 , 59438
 1521.00 , 59457
 1522.00 , 59591
 1523.00 , 59639
 1524.00 , 59508
 1525.00 , 59672
 1526.00 , 59606
 1527.00 , 59742
 1528.00 , 59712
 1529.00 , 59789
 1530.00 , 59765
 1531.00 , 59860
 1532.00 , 59828
 1533.00 , 59895
 1534.00 , 59969
 1535.00 , 59961
 1536.00 , 59955
 1537.00 , 59990
 1538.00 , 60019
 1539.00 , 60130
 1540.00 , 60102
 1541.00 , 60147
 1542.00 , 60147
 1543.00 , 60220
 1544.00 , 60286
 1545.00 , 60299
 1546.00 , 60257
 1547.00 , 60368
 1548.00 , 60366
 1549.00 , 60406
 1550.00 , 60432
 1551.00 , 60525
 1552.00 , 60501
 1553.00 , 60475
 1554.00 , 60492
 1555.00 , 60574
 1556.00 , 60670
 1557.00 , 60692
 1558.00 , 60756
 1559.00 , 60819
 1560.00 , 60740
 1561.00 , 60776
 1562.00 , 60860
 1563.00 , 60820
 1564.00 , 60780
 1565.00 , 60936
 1566.00 , 60971
 1567.00 , 61020
 1568.00 , 60944
 1569.00 , 61016
 1570.00 , 61041
 1571.00 , 61149
 1572.00 , 61186
 1573.00 , 61185
 1574.00 , 61194
 1575.00 , 61242
 1576.00 , 61271
 1577.00 , 61294
 1578.00 , 61325
 1579.00 , 61354
 1580.00 , 61403
 1581.00 , 61432
 1582.00 , 61530
 1583.00 , 61529
 1584.00 , 61493
 1585.00 , 61611
 1586.00 , 61621
 1587.00 , 61512
 1588.00 , 61639
 1589.00 , 61730
 1590.00 , 61764
 1591.00 , 61728
 1592.00 , 61758
 1593.00 , 61829
 1594.00 , 61873
 1595.00 , 61934
 1596.00 , 61916
 1597.00 , 61934
 1598.00 , 62038
 1599.00 , 62048
 1600.00 , 62061
 1601.00 , 62094
 1602.00 , 62070
 1603.00 , 62165
 1604.00 , 62213
 1605.00 , 62314
 1606.00 , 62325
 1607.00 , 62316
 1608.00 , 62313
 1609.00 , 62399
 1610.00 , 62448
 1611.00 , 62479
 1612.00 , 62403
 1613.00 , 62439
 1614.00 , 62538
 1615.00 , 62582
 1616.00 , 62619
 1617.00 , 62645
 1618.00 , 62657
 1619.00 , 62742
 1620.00 , 62715
 1621.00 , 62787
 1622.00 , 62866
 1623.00 , 62834
 1624.00 , 62900
 1625.00 , 62920
 1626.00 , 62943
 1627.00 , 62935
 1628.00 , 63005
 1629.00 , 62995
 1630.00 , 63086
 1631.00 , 63144
 1632.00 , 63186
 1633.00 , 63111
 1634.00 , 63163
 1635.00 , 63280
 1636.00 , 63327
 1637.00 , 63355
 1638.00 , 63406
 1639.00 , 63419
 1640.00 , 63426
 1641.00 , 63452
 1642.00 , 63554
 1643.00 , 63477
 1644.00 , 63518
 1645.00 , 63583
 1646.00 , 63661
 1647.00 , 63575
 1648.00 , 63753
 1649.00 , 63716
 1650.00 , 63722
 1651.00 , 63862
 1652.00 , 63864
 1653.00 , 63911
 1654.00 , 63905
 1655.00 , 63858
 1656.00 , 63949
 1657.00 , 63955
 1658.00 , 64036
 1659.00 , 64105
 1660.00 , 64125
 1661.00 , 64141
 1662.00 , 64175
 1663.00 , 64091
 1664.00 , 64231
 1665.00 , 64377
 1666.00 , 64294
 1667.00 , 64380
 1668.00 , 64422
 1669.00 , 64457
 1670.00 , 64448
 1671.00 , 64464
 1672.00 , 64574
 1673.00 , 64490
 1674.00 , 64618
 1675.00 , 64623
 1676.00 , 64662
 1677.00 , 64745
 1678.00 , 64769
 1679.00 , 64855
 1680.00 , 64805
 1681.00 , 64823
 1682.00 , 64921
 1683.00 , 64824
 1684.00 , 64939
 1685.00 , 65003
 1686.00 , 64947
 1687.00 , 64952
 1688.00 , 65123
 1689.00 , 65163
 1690.00 , 65099
 1691.00 , 65052
 1692.00 , 65152
 1693.00 , 65319
 1694.00 , 65328
 1695.00 , 65384
 1696.00 , 65317
 1697.00 , 65326
 1698.00 , 65521
 1699.00 , 65533
 1700.00 , 65421
 1701.00 , 65530
 1702.00 , 65531
 1703.00 , 65556
 1704.00 , 65619
 1705.00 , 65745
 1706.00 , 65666
 1707.00 , 65764
 1708.00 , 65858
 1709.00 , 65829
 1710.00 , 65904
 1711.00 , 66008
 1712.00 , 65956
 1713.00 , 65984
 1714.00 , 65997
 1715.00 , 66005
 1716.00 , 66039
 1717.00 , 66058
 1718.00 , 66135
 1719.00 , 66278
 1720.00 , 66266
 1721.00 , 66242
 1722.00 , 66298
 1723.00 , 66320
 1724.00 , 66329
 1725.00 , 66361
 1726.00 , 66412
 1727.00 , 66541
 1728.00 , 66482
 1729.00 , 66548
 1730.00 , 66522
 1731.00 , 66590
 1732.00 , 66704
 1733.00 , 66692
 1734.00 , 66754
 1735.00 , 66738
 1736.00 , 66792
 1737.00 , 66808
 1738.00 , 66860
 1739.00 , 66880
 1740.00 , 67020
 1741.00 , 66957
 1742.00 , 66972
 1743.00 , 66990
 1744.00 , 67183
 1745.00 , 67227
 1746.00 , 67135
 1747.00 , 67204
 1748.00 , 67291
 1749.00 , 67218
 1750.00 , 67308
 1751.00 , 67398
 1752.00 , 67455
 1753.00 , 67443
 1754.00 , 67454
 1755.00 , 67567
 1756.00 , 67613
 1757.00 , 67555
 1758.00 , 67721
 1759.00 , 67682
 1760.00 , 67691
 1761.00 , 67761
 1762.00 , 67808
 1763.00 , 67840
 1764.00 , 67860
 1765.00 , 67899
 1766.00 , 67928
 1767.00 , 67980
 1768.00 , 67964
 1769.00 , 68009
 1770.00 , 68131
 1771.00 , 68081
 1772.00 , 68094
 1773.00 , 68156
 1774.00 , 68206
 1775.00 , 68229
 1776.00 , 68203
 1777.00 , 68301
 1778.00 , 68309
 1779.00 , 68372
 1780.00 , 68416
 1781.00 , 68452
 1782.00 , 68528
 1783.00 , 68539
 1784.00 , 68587
 1785.00 , 68678
 1786.00 , 68759
 1787.00 , 68719
 1788.00 , 68756
 1789.00 , 68833
 1790.00 , 68788
 1791.00 , 68838
 1792.00 , 68823
 1793.00 , 68829
 1794.00 , 68959
 1795.00 , 69054
 1796.00 , 69027
 1797.00 , 69111
 1798.00 , 69066
 1799.00 , 69255
 1800.00 , 69247
 1801.00 , 69238
 1802.00 , 69374
 1803.00 , 69364
 1804.00 , 69385
 1805.00 , 69419
 1806.00 , 69430
 1807.00 , 69510
 1808.00 , 69446
 1809.00 , 69515
 1810.00 , 69537
 1811.00 , 69558
 1812.00 , 69703
 1813.00 , 69754
 1814.00 , 69835
 1815.00 , 69824
 1816.00 , 69807
 1817.00 , 69883
 1818.00 , 69894
 1819.00 , 69903
 1820.00 , 69834
 1821.00 , 69927
 1822.00 , 70077
 1823.00 , 70105
 1824.00 , 70185
 1825.00 , 70156
 1826.00 , 70376
 1827.00 , 70313
 1828.00 , 70357
 1829.00 , 70345
 1830.00 , 70392
 1831.00 , 70425
 1832.00 , 70496
 1833.00 , 70501
 1834.00 , 70459
 1835.00 , 70611
 1836.00 , 70605
 1837.00 , 70663
 1838.00 , 70647
 1839.00 , 70776
 1840.00 , 70670
 1841.00 , 70840
 1842.00 , 70885
 1843.00 , 70889
 1844.00 , 70947
 1845.00 , 70889
 1846.00 , 70994
 1847.00 , 71093
 1848.00 , 71075
 1849.00 , 71052
 1850.00 , 71078
 1851.00 , 71180
 1852.00 , 71180
 1853.00 , 71180
 1854.00 , 71272
 1855.00 , 71356
 1856.00 , 71440
 1857.00 , 71450
 1858.00 , 71445
 1859.00 , 71500
 1860.00 , 71563
 1861.00 , 71659
 1862.00 , 71624
 1863.00 , 71652
 1864.00 , 71712
 1865.00 , 71809
 1866.00 , 71872
 1867.00 , 71807
 1868.00 , 71900
 1869.00 , 72019
 1870.00 , 72056
 1871.00 , 71964
 1872.00 , 72028
 1873.00 , 72088
 1874.00 , 72078
 1875.00 , 72070
 1876.00 , 72158
 1877.00 , 72302
 1878.00 , 72349
 1879.00 , 72354
 1880.00 , 72470
 1881.00 , 72474
 1882.00 , 72465
 1883.00 , 72498
 1884.00 , 72568
 1885.00 , 72535
 1886.00 , 72544
 1887.00 , 72655
 1888.00 , 72715
 1889.00 , 72734
 1890.00 , 72827
 1891.00 , 72793
 1892.00 , 72874
 1893.00 , 72921
 1894.00 , 72887
 1895.00 , 72925
 1896.00 , 73047
 1897.00 , 73056
 1898.00 , 73083
 1899.00 , 73178
 1900.00 , 73221
 1901.00 , 73199
 1902.00 , 73198
 1903.00 , 73239
 1904.00 , 73351
 1905.00 , 73390
 1906.00 , 73396
 1907.00 , 73499
 1908.00 , 73543
 1909.00 , 73561
 1910.00 , 73587
 1911.00 , 73706
 1912.00 , 73712
 1913.00 , 73739
 1914.00 , 73701
 1915.00 , 73792
 1916.00 , 73930
 1917.00 , 73890
 1918.00 , 74050
 1919.00 , 74046
 1920.00 , 73968
 1921.00 , 74047
 1922.00 , 74025
 1923.00 , 74214
 1924.00 , 74248
 1925.00 , 74289
 1926.00 , 74359
 1927.00 , 74262
 1928.00 , 74289
 1929.00 , 74379
 1930.00 , 74447
 1931.00 , 74449
 1932.00 , 74478
 1933.00 , 74595
 1934.00 , 74581
 1935.00 , 74590
 1936.00 , 74688
 1937.00 , 74771
 1938.00 , 74851
 1939.00 , 74845
 1940.00 , 74909
 1941.00 , 74970
 1942.00 , 74910
 1943.00 , 75016
 1944.00 , 74984
 1945.00 , 75097
 1946.00 , 75075
 1947.00 , 75146
 1948.00 , 75195
 1949.00 , 75253
 1950.00 , 75361
 1951.00 , 75319
 1952.00 , 75341
 1953.00 , 75445
 1954.00 , 75554
 1955.00 , 75555
 1956.00 , 75568
 1957.00 , 75574
 1958.00 , 75641
 1959.00 , 75682
 1960.00 , 75815
 1961.00 , 75792
 1962.00 , 75826
 1963.00 , 75846
 1964.00 , 75916
 1965.00 , 75917
 1966.00 , 76043
 1967.00 , 76003
 1968.00 , 76085
 1969.00 , 76098
 1970.00 , 76056
 1971.00 , 76186
 1972.00 , 76246
 1973.00 , 76308
 1974.00 , 76242
 1975.00 , 76313
 1976.00 , 76474
 1977.00 , 76494
 1978.00 , 76563
 1979.00 , 76593
 1980.00 , 76651
 1981.00 , 76644
 1982.00 , 76667
 1983.00 , 76710
 1984.00 , 76715
 1985.00 , 76888
 1986.00 , 76862
 1987.00 , 76988
 1988.00 , 77018
 1989.00 , 77071
 1990.00 , 77118
 1991.00 , 77121
 1992.00 , 77203
 1993.00 , 77325
 1994.00 , 77222
 1995.00 , 77262
 1996.00 , 77351
 1997.00 , 77308
 1998.00 , 77428
 1999.00 , 77421
 2000.00 , 77567
 2001.00 , 77538
 2002.00 , 77653
 2003.00 , 77605
 2004.00 , 77674
 2005.00 , 77759
 2006.00 , 77742
 2007.00 , 77773
 2008.00 , 77939
 2009.00 , 77872
 2010.00 , 77913
 2011.00 , 77958
 2012.00 , 78047
 2013.00 , 78088
 2014.00 , 78195
 2015.00 , 78227
 2016.00 , 78220
 2017.00 , 78319
 2018.00 , 78299
 2019.00 , 78368
 2020.00 , 78478
 2021.00 , 78475
 2022.00 , 78557
 2023.00 , 78670
 2024.00 , 78641
 2025.00 , 78627
 2026.00 , 78654
 2027.00 , 78575
 2028.00 , 78712
 2029.00 , 78803
 2030.00 , 78874
 2031.00 , 78867
 2032.00 , 78933
 2033.00 , 78916
 2034.00 , 79038
 2035.00 , 79149
 2036.00 , 79201
 2037.00 , 79185
 2038.00 , 79168
 2039.00 , 79262
 2040.00 , 79239
 2041.00 , 79309
 2042.00 , 79295
 2043.00 , 79399
 2044.00 , 79313
 2045.00 , 79442
 2046.00 , 79627
 2047.00 , 79607
 2048.00 , 79563
 2049.00 , 79641
 2050.00 , 79654
 2051.00 , 79822
 2052.00 , 79818
 2053.00 , 79844
 2054.00 , 79914
 2055.00 , 79833
 2056.00 , 79875
 2057.00 , 79887
 2058.00 , 79992
 2059.00 , 80097
 2060.00 , 80183
 2061.00 , 80066
 2062.00 , 80214
 2063.00 , 80270
 2064.00 , 80389
 2065.00 , 80336
 2066.00 , 80376
 2067.00 , 80488
 2068.00 , 80362
 2069.00 , 80466
 2070.00 , 80545
 2071.00 , 80602
 2072.00 , 80572
 2073.00 , 80673
 2074.00 , 80793
 2075.00 , 80810
 2076.00 , 80925
 2077.00 , 80944
 2078.00 , 80922
 2079.00 , 80970
 2080.00 , 80972
 2081.00 , 81005
 2082.00 , 81012
 2083.00 , 81089
 2084.00 , 81222
 2085.00 , 81322
 2086.00 , 81344
 2087.00 , 81423
 2088.00 , 81410
 2089.00 , 81548
 2090.00 , 81483
 2091.00 , 81470
 2092.00 , 81604
 2093.00 , 81590
 2094.00 , 81734
 2095.00 , 81761
 2096.00 , 81825
 2097.00 , 81863
 2098.00 , 81870
 2099.00 , 81958
 2100.00 , 82006
 2101.00 , 81944
 2102.00 , 81995
 2103.00 , 82177
 2104.00 , 82149
 2105.00 , 82230
 2106.00 , 82256
 2107.00 , 82307
 2108.00 , 82379
 2109.00 , 82396
 2110.00 , 82462
 2111.00 , 82454
 2112.00 , 82585
 2113.00 , 82667
 2114.00 , 82693
 2115.00 , 82881
 2116.00 , 82814
 2117.00 , 82918
 2118.00 , 82912
 2119.00 , 82949
 2120.00 , 82992
 2121.00 , 83107
 2122.00 , 83105
 2123.00 , 83133
 2124.00 , 83294
 2125.00 , 83313
 2126.00 , 83286
 2127.00 , 83355
 2128.00 , 83491
 2129.00 , 83556
 2130.00 , 83570
 2131.00 , 83761
 2132.00 , 83574
 2133.00 , 83757
 2134.00 , 83806
 2135.00 , 83856
 2136.00 , 83941
 2137.00 , 84049
 2138.00 , 84035
 2139.00 , 83975
 2140.00 , 84073
 2141.00 , 84169
 2142.00 , 84229
 2143.00 , 84230
 2144.00 , 84205
 2145.00 , 84127
 2146.00 , 84323
 2147.00 , 84302
 2148.00 , 84295
 2149.00 , 84296
 2150.00 , 84355
 2151.00 , 84475
 2152.00 , 84506
 2153.00 , 84552
 2154.00 , 84437
 2155.00 , 84631
 2156.00 , 84620
 2157.00 , 84642
 2158.00 , 84703
 2159.00 , 84740
 2160.00 , 84776
 2161.00 , 84843
 2162.00 , 84934
 2163.00 , 84951
 2164.00 , 84993
 2165.00 , 85057
 2166.00 , 85123
 2167.00 , 85158
 2168.00 , 85160
 2169.00 , 85157
 2170.00 , 85177
 2171.00 , 85293
 2172.00 , 85316
 2173.00 , 85356
 2174.00 , 85396
 2175.00 , 85433
 2176.00 , 85436
 2177.00 , 85507
 2178.00 , 85569
 2179.00 , 85433
 2180.00 , 85377
 2181.00 , 85393
 2182.00 , 85440
 2183.00 , 85514
 2184.00 , 85611
 2185.00 , 85498
 2186.00 , 85567
 2187.00 , 85467
 2188.00 , 85546
 2189.00 , 85701
 2190.00 , 85674
 2191.00 , 85722
 2192.00 , 85747
 2193.00 , 85719
 2194.00 , 85823
 2195.00 , 85881
 2196.00 , 85835
 2197.00 , 85968
 2198.00 , 86016
 2199.00 , 85976
 2200.00 , 85961
 2201.00 , 86082
 2202.00 , 86150
 2203.00 , 86204
 2204.00 , 86303
 2205.00 , 86293
 2206.00 , 86371
 2207.00 , 86388
 2208.00 , 86499
 2209.00 , 86548
 2210.00 , 86558
 2211.00 , 86657
 2212.00 , 86667
 2213.00 , 86597
 2214.00 , 86718
 2215.00 , 86825
 2216.00 , 86870
 2217.00 , 86939
 2218.00 , 87007
 2219.00 , 87040
 2220.00 , 87124
 2221.00 , 87189
 2222.00 , 87217
 2223.00 , 87252
 2224.00 , 87295
 2225.00 , 87355
 2226.00 , 87372
 2227.00 , 87402
 2228.00 , 87476
 2229.00 , 87624
 2230.00 , 87617
 2231.00 , 87625
 2232.00 , 87606
 2233.00 , 87706
 2234.00 , 87840
 2235.00 , 87736
 2236.00 , 87813
 2237.00 , 87973
 2238.00 , 87936
 2239.00 , 88015
 2240.00 , 88016
 2241.00 , 88155
 2242.00 , 88243
 2243.00 , 88212
 2244.00 , 88173
 2245.00 , 88198
 2246.00 , 88347
 2247.00 , 88399
 2248.00 , 88392
 2249.00 , 88429
 2250.00 , 88544
 2251.00 , 88540
 2252.00 , 88708
 2253.00 , 88698
 2254.00 , 88774
 2255.00 , 88822
 2256.00 , 88797
 2257.00 , 88900
 2258.00 , 88946
 2259.00 , 89022
 2260.00 , 89202
 2261.00 , 89184
 2262.00 , 89259
 2263.00 , 89319
 2264.00 , 89413
 2265.00 , 89436
 2266.00 , 89433
 2267.00 , 89395
 2268.00 , 89466
 2269.00 , 89587
 2270.00 , 89615
 2271.00 , 89582
 2272.00 , 89723
 2273.00 , 89695
 2274.00 , 89826
 2275.00 , 89968
 2276.00 , 89890
 2277.00 , 89946
 2278.00 , 89996
 2279.00 , 90048
 2280.00 , 90112
 2281.00 , 90129
 2282.00 , 90253
 2283.00 , 90439
 2284.00 , 90423
 2285.00 , 90394
 2286.00 , 90508
 2287.00 , 90483
 2288.00 , 90499
 2289.00 , 90566
 2290.00 , 90657
 2291.00 , 90706
 2292.00 , 90847
 2293.00 , 90843
 2294.00 , 90904
 2295.00 , 90948
 2296.00 , 91084
 2297.00 , 91097
 2298.00 , 91178
 2299.00 , 91190
 2300.00 , 91319
 2301.00 , 91426
 2302.00 , 91344
 2303.00 , 91431
 2304.00 , 91496
 2305.00 , 91532
 2306.00 , 91634
 2307.00 , 91657
 2308.00 , 91716
 2309.00 , 91771
 2310.00 , 91922
 2311.00 , 91985
 2312.00 , 92034
 2313.00 , 92116
 2314.00 , 92094
 2315.00 , 92151
 2316.00 , 92066
 2317.00 , 92171
 2318.00 , 92304
 2319.00 , 92291
 2320.00 , 92428
 2321.00 , 92329
 2322.00 , 92550
 2323.00 , 92618
 2324.00 , 92560
 2325.00 , 92549
 2326.00 , 92631
 2327.00 , 92767
 2328.00 , 92805
 2329.00 , 92748
 2330.00 , 92887
 2331.00 , 92957
 2332.00 , 93082
 2333.00 , 93093
 2334.00 , 93187
 2335.00 , 93202
 2336.00 , 93387
 2337.00 , 93414
 2338.00 , 93472
 2339.00 , 93429
 2340.00 , 93423
 2341.00 , 93431
 2342.00 , 93478
 2343.00 , 93540
 2344.00 , 93490
 2345.00 , 93573
 2346.00 , 93563
 2347.00 , 93605
 2348.00 , 93541
 2349.00 , 93635
 2350.00 , 93619
 2351.00 , 93652
 2352.00 , 93637
 2353.00 , 93773
 2354.00 , 93751
 2355.00 , 93769
 2356.00 , 93876
 2357.00 , 93878
 2358.00 , 94009
 2359.00 , 94029
 2360.00 , 94106
 2361.00 , 94205
 2362.00 , 94332
 2363.00 , 94258
 2364.00 , 94336
 2365.00 , 94503
 2366.00 , 94566
 2367.00 , 94675
 2368.00 , 94630
 2369.00 , 94685
 2370.00 , 94646
 2371.00 , 94712
 2372.00 , 94790
 2373.00 , 94794
 2374.00 , 94699
 2375.00 , 94660
 2376.00 , 94524
 2377.00 , 94602
 2378.00 , 94518
 2379.00 , 94546
 2380.00 , 94388
 2381.00 , 94396
 2382.00 , 94349
 2383.00 , 94332
 2384.00 , 94266
 2385.00 , 94197
 2386.00 , 94277
 2387.00 , 94232
 2388.00 , 94258
 2389.00 , 94278
 2390.00 , 94284
 2391.00 , 94380
 2392.00 , 94365
 2393.00 , 94374
 2394.00 , 94460
 2395.00 , 94496
 2396.00 , 94356
 2397.00 , 94513
 2398.00 , 94552
 2399.00 , 94568
 2400.00 , 94748
 2401.00 , 94739
 2402.00 , 94786
 2403.00 , 94839
 2404.00 , 94792
 2405.00 , 94875
 2406.00 , 94899
 2407.00 , 94978
 2408.00 , 95076
 2409.00 , 95090
 2410.00 , 95141
 2411.00 , 95220
 2412.00 , 95223
 2413.00 , 95295
 2414.00 , 95386
 2415.00 , 95399
 2416.00 , 95490
 2417.00 , 95477
 2418.00 , 95524
 2419.00 , 95603
 2420.00 , 95616
 2421.00 , 95730
 2422.00 , 95716
 2423.00 , 95828
 2424.00 , 95839
 2425.00 , 95939
 2426.00 , 96033
 2427.00 , 96143
 2428.00 , 96124
 2429.00 , 96218
 2430.00 , 96305
 2431.00 , 96383
 2432.00 , 96378
 2433.00 , 96426
 2434.00 , 96501
 2435.00 , 96564
 2436.00 , 96610
 2437.00 , 96684
 2438.00 , 96620
 2439.00 , 96748
 2440.00 , 96828
 2441.00 , 96876
 2442.00 , 96887
 2443.00 , 96930
 2444.00 , 96989
 2445.00 , 97033
 2446.00 , 97169
 2447.00 , 97128
 2448.00 , 97295
 2449.00 , 97287
 2450.00 , 97338
 2451.00 , 97341
 2452.00 , 97432
 2453.00 , 97535
 2454.00 , 97548
 2455.00 , 97703
 2456.00 , 97790
 2457.00 , 97871
 2458.00 , 97931
 2459.00 , 97940
 2460.00 , 97862
 2461.00 , 97994
 2462.00 , 98002
 2463.00 , 98070
 2464.00 , 98160
 2465.00 , 98226
 2466.00 , 98223
 2467.00 , 98295
 2468.00 , 98428
 2469.00 , 98484
 2470.00 , 98468
 2471.00 , 98539
 2472.00 , 98563
 2473.00 , 98794
 2474.00 , 98775
 2475.00 , 98880
 2476.00 , 98900
 2477.00 , 98933
 2478.00 , 98983
 2479.00 , 99096
 2480.00 , 99131
 2481.00 , 99282
 2482.00 , 99271
 2483.00 , 99326
 2484.00 , 99400
 2485.00 , 99451
 2486.00 , 99568
 2487.00 , 99695
 2488.00 , 99708
 2489.00 , 99815
 2490.00 , 99820
 2491.00 , 99816
 2492.00 , 100053
 2493.00 , 100041
 2494.00 , 100051
 2495.00 , 100069
 2496.00 , 100165
 2497.00 , 100237
 2498.00 , 100237
 2499.00 , 100398
 2500.00 , 100491
