Energy(ev),  Intensity
 318.00 , 40900
 319.00 , 40978
 320.00 , 41110
 321.00 , 41188
 322.00 , 41381
 323.00 , 41476
 324.00 , 41627
 325.00 , 41816
 326.00 , 41926
 327.00 , 42095
 328.00 , 42246
 329.00 , 42431
 330.00 , 42748
 331.00 , 42974
 332.00 , 43132
 333.00 , 43464
 334.00 , 43736
 335.00 , 44247
 336.00 , 44716
 337.00 , 45353
 338.00 , 46161
 339.00 , 46954
 340.00 , 48134
 341.00 , 49337
 342.00 , 50667
 343.00 , 52594
 344.00 , 55537
 345.00 , 58888
 346.00 , 62379
 347.00 , 69739
 348.00 , 80134
 349.00 , 82322
 350.00 , 76529
 351.00 , 68478
 352.00 , 63069
 353.00 , 64010
 354.00 , 67800
 355.00 , 63462
 356.00 , 53153
 357.00 , 45044
 358.00 , 41227
 359.00 , 39247
 360.00 , 37730
 361.00 , 36433
 362.00 , 35329
 363.00 , 34642
 364.00 , 34174
 365.00 , 33845
 366.00 , 33536
 367.00 , 33219
 368.00 , 33056
 369.00 , 32956
 370.00 , 32895
 371.00 , 32634
 372.00 , 32501
 373.00 , 32457
 374.00 , 32414
 375.00 , 32399
 376.00 , 32419
 377.00 , 32377
 378.00 , 32379
 379.00 , 32297
 380.00 , 32271
 381.00 , 32204
 382.00 , 32257
 383.00 , 32292
 384.00 , 32305
 385.00 , 32353
 386.00 , 32351
 387.00 , 32288
 388.00 , 32280
 389.00 , 32331
 390.00 , 32428
 391.00 , 32335
 392.00 , 32403
 393.00 , 32405
 394.00 , 32442
 395.00 , 32438
 396.00 , 32487
 397.00 , 32439
 398.00 , 32587
 399.00 , 32564
 400.00 , 32586
 401.00 , 32592
 402.00 , 32596
 403.00 , 32631
 404.00 , 32700
 405.00 , 32736
 406.00 , 32773
 407.00 , 32756
 408.00 , 32727
 409.00 , 32795
 410.00 , 32804
 411.00 , 32857
 412.00 , 32801
 413.00 , 32778
 414.00 , 32869
 415.00 , 32917
 416.00 , 32966
 417.00 , 32958
 418.00 , 32976
 419.00 , 33040
 420.00 , 33112
 421.00 , 33140
 422.00 , 33087
 423.00 , 33130
 424.00 , 33168
 425.00 , 33178
 426.00 , 33257
 427.00 , 33243
 428.00 , 33288
 429.00 , 33369
 430.00 , 33397
 431.00 , 33410
 432.00 , 33505
 433.00 , 33494
 434.00 , 33534
 435.00 , 33543
 436.00 , 33544
 437.00 , 33561
 438.00 , 33517
 439.00 , 33643
 440.00 , 33646
 441.00 , 33674
 442.00 , 33702
 443.00 , 33736
 444.00 , 33711
 445.00 , 33793
 446.00 , 33757
 447.00 , 33732
 448.00 , 33771
 449.00 , 33805
 450.00 , 33770
 451.00 , 33816
 452.00 , 33793
 453.00 , 33788
 454.00 , 33845
 455.00 , 33884
 456.00 , 33879
 457.00 , 33923
 458.00 , 33926
 459.00 , 33939
 460.00 , 33927
 461.00 , 33932
 462.00 , 34023
 463.00 , 34025
 464.00 , 34048
 465.00 , 34030
 466.00 , 34062
 467.00 , 34148
 468.00 , 34174
 469.00 , 34136
 470.00 , 34171
 471.00 , 34211
 472.00 , 34203
 473.00 , 34234
 474.00 , 34265
 475.00 , 34276
 476.00 , 34289
 477.00 , 34295
 478.00 , 34378
 479.00 , 34475
 480.00 , 34510
 481.00 , 34441
 482.00 , 34466
 483.00 , 34508
 484.00 , 34575
 485.00 , 34601
 486.00 , 34629
 487.00 , 34688
 488.00 , 34656
 489.00 , 34755
 490.00 , 34795
 491.00 , 34821
 492.00 , 34843
 493.00 , 34877
 494.00 , 34919
 495.00 , 34888
 496.00 , 34996
 497.00 , 34979
 498.00 , 35044
 499.00 , 35015
 500.00 , 35050
 501.00 , 35075
 502.00 , 35085
 503.00 , 34957
 504.00 , 34995
 505.00 , 34981
 506.00 , 34944
 507.00 , 34905
 508.00 , 34955
 509.00 , 34940
 510.00 , 34936
 511.00 , 34878
 512.00 , 34915
 513.00 , 34932
 514.00 , 34907
 515.00 , 34942
 516.00 , 35013
 517.00 , 35011
 518.00 , 35036
 519.00 , 35018
 520.00 , 35029
 521.00 , 35006
 522.00 , 35141
 523.00 , 35173
 524.00 , 35109
 525.00 , 35118
 526.00 , 35140
 527.00 , 35177
 528.00 , 35110
 529.00 , 35150
 530.00 , 35157
 531.00 , 35103
 532.00 , 35117
 533.00 , 35162
 534.00 , 35153
 535.00 , 35139
 536.00 , 35212
 537.00 , 35147
 538.00 , 35200
 539.00 , 35176
 540.00 , 35261
 541.00 , 35212
 542.00 , 35320
 543.00 , 35256
 544.00 , 35283
 545.00 , 35363
 546.00 , 35360
 547.00 , 35408
 548.00 , 35377
 549.00 , 35388
 550.00 , 35473
 551.00 , 35496
 552.00 , 35565
 553.00 , 35572
 554.00 , 35502
 555.00 , 35588
 556.00 , 35546
 557.00 , 35610
 558.00 , 35616
 559.00 , 35686
 560.00 , 35636
 561.00 , 35650
 562.00 , 35684
 563.00 , 35664
 564.00 , 35709
 565.00 , 35688
 566.00 , 35692
 567.00 , 35718
 568.00 , 35748
 569.00 , 35819
 570.00 , 35869
 571.00 , 35840
 572.00 , 35904
 573.00 , 35897
 574.00 , 35878
 575.00 , 35898
 576.00 , 35990
 577.00 , 35926
 578.00 , 36043
 579.00 , 36078
 580.00 , 36018
 581.00 , 36100
 582.00 , 36231
 583.00 , 36200
 584.00 , 36147
 585.00 , 36240
 586.00 , 36185
 587.00 , 36229
 588.00 , 36254
 589.00 , 36271
 590.00 , 36275
 591.00 , 36348
 592.00 , 36368
 593.00 , 36415
 594.00 , 36376
 595.00 , 36356
 596.00 , 36399
 597.00 , 36499
 598.00 , 36505
 599.00 , 36477
 600.00 , 36455
 601.00 , 36540
 602.00 , 36559
 603.00 , 36607
 604.00 , 36647
 605.00 , 36624
 606.00 , 36681
 607.00 , 36695
 608.00 , 36755
 609.00 , 36742
 610.00 , 36781
 611.00 , 36801
 612.00 , 36707
 613.00 , 36782
 614.00 , 36768
 615.00 , 36796
 616.00 , 36857
 617.00 , 36882
 618.00 , 36850
 619.00 , 36894
 620.00 , 36924
 621.00 , 36963
 622.00 , 36972
 623.00 , 37023
 624.00 , 37009
 625.00 , 37095
 626.00 , 37106
 627.00 , 37139
 628.00 , 37126
 629.00 , 37207
 630.00 , 37157
 631.00 , 37166
 632.00 , 37235
 633.00 , 37224
 634.00 , 37266
 635.00 , 37334
 636.00 , 37335
 637.00 , 37317
 638.00 , 37311
 639.00 , 37388
 640.00 , 37405
 641.00 , 37404
 642.00 , 37482
 643.00 , 37385
 644.00 , 37506
 645.00 , 37532
 646.00 , 37626
 647.00 , 37647
 648.00 , 37626
 649.00 , 37601
 650.00 , 37631
 651.00 , 37707
 652.00 , 37654
 653.00 , 37702
 654.00 , 37714
 655.00 , 37721
 656.00 , 37753
 657.00 , 37794
 658.00 , 37831
 659.00 , 37845
 660.00 , 37826
 661.00 , 37926
 662.00 , 37912
 663.00 , 37945
 664.00 , 37936
 665.00 , 37989
 666.00 , 37975
 667.00 , 38015
 668.00 , 38095
 669.00 , 38180
 670.00 , 38137
 671.00 , 38124
 672.00 , 38140
 673.00 , 38186
 674.00 , 38163
 675.00 , 38208
 676.00 , 38223
 677.00 , 38254
 678.00 , 38261
 679.00 , 38303
 680.00 , 38316
 681.00 , 38348
 682.00 , 38392
 683.00 , 38395
 684.00 , 38402
 685.00 , 38460
 686.00 , 38517
 687.00 , 38430
 688.00 , 38516
 689.00 , 38556
 690.00 , 38532
 691.00 , 38509
 692.00 , 38599
 693.00 , 38593
 694.00 , 38640
 695.00 , 38731
 696.00 , 38744
 697.00 , 38706
 698.00 , 38753
 699.00 , 38816
 700.00 , 38760
 701.00 , 38805
 702.00 , 38857
 703.00 , 38822
 704.00 , 38813
 705.00 , 38845
 706.00 , 38881
 707.00 , 38923
 708.00 , 38964
 709.00 , 38964
 710.00 , 39033
 711.00 , 39026
 712.00 , 39075
 713.00 , 39114
 714.00 , 39109
 715.00 , 39077
 716.00 , 39084
 717.00 , 39111
 718.00 , 39231
 719.00 , 39194
 720.00 , 39191
 721.00 , 39232
 722.00 , 39292
 723.00 , 39284
 724.00 , 39345
 725.00 , 39327
 726.00 , 39324
